"","tool","run","parameter","moment","value"
"2267","nm7","74","OMEGA1.1","estimate","0.195772"
"2268","nm7","74","OMEGA1.1","prse",NA
"2269","nm7","74","OMEGA2.1","estimate","0"
"2270","nm7","74","OMEGA2.1","prse",NA
"2271","nm7","74","OMEGA2.2","estimate","0.119733"
"2272","nm7","74","OMEGA2.2","prse",NA
"2273","nm7","74","OMEGA3.1","estimate","0"
"2274","nm7","74","OMEGA3.1","prse",NA
"2275","nm7","74","OMEGA3.2","estimate","0"
"2276","nm7","74","OMEGA3.2","prse",NA
"2277","nm7","74","OMEGA3.3","estimate","0.103383"
"2278","nm7","74","OMEGA3.3","prse",NA
"2279","nm7","74","SIGMA1.1","estimate","0.0651163"
"2280","nm7","74","SIGMA1.1","prse",NA
"2281","nm7","74","THETA1","estimate","7.99868"
"2282","nm7","74","THETA1","prse",NA
"2283","nm7","74","THETA2","estimate","21.0844"
"2284","nm7","74","THETA2","prse",NA
"2285","nm7","74","THETA3","estimate","0.0653999"
"2286","nm7","74","THETA3","prse",NA
"2287","nm7","74","THETA4","estimate","3.31592"
"2288","nm7","74","THETA4","prse",NA
"2289","nm7","74","THETA5","estimate","111.491"
"2290","nm7","74","THETA5","prse",NA
"2291","nm7","74","THETA6","estimate","0.999422"
"2292","nm7","74","THETA6","prse",NA
"2293","nm7","74","THETA7","estimate","1.84827"
"2294","nm7","74","THETA7","prse",NA
"2295","nm7","75","prob","text","75 phase1 2 CMT like 1004 but diff. initial on V3"
"2296","nm7","75","min","status","0"
"2297","nm7","75","ofv","estimate","2094.20478956624"
"2298","nm7","75","OMEGA1.1","estimate","0.170278"
"2299","nm7","75","OMEGA1.1","prse",NA
"2300","nm7","75","OMEGA2.1","estimate","0"
"2301","nm7","75","OMEGA2.1","prse",NA
"2302","nm7","75","OMEGA2.2","estimate","0.128214"
"2303","nm7","75","OMEGA2.2","prse",NA
"2304","nm7","75","OMEGA3.1","estimate","0"
"2305","nm7","75","OMEGA3.1","prse",NA
"2306","nm7","75","OMEGA3.2","estimate","0"
"2307","nm7","75","OMEGA3.2","prse",NA
"2308","nm7","75","OMEGA3.3","estimate","0.105087"
"2309","nm7","75","OMEGA3.3","prse",NA
"2310","nm7","75","SIGMA1.1","estimate","0.0755507"
"2311","nm7","75","SIGMA1.1","prse",NA
"2312","nm7","75","THETA1","estimate","8.05939"
"2313","nm7","75","THETA1","prse",NA
"2314","nm7","75","THETA2","estimate","21.1765"
"2315","nm7","75","THETA2","prse",NA
"2316","nm7","75","THETA3","estimate","0.0686807"
"2317","nm7","75","THETA3","prse",NA
"2318","nm7","75","THETA4","estimate","3.9362"
"2319","nm7","75","THETA4","prse",NA
"2320","nm7","75","THETA5","estimate","92.1836"
"2321","nm7","75","THETA5","prse",NA
"2322","nm7","75","THETA6","estimate","1.00128"
"2323","nm7","75","THETA6","prse",NA
"2324","nm7","75","THETA7","estimate","1.81211"
"2325","nm7","75","THETA7","prse",NA
"2326","nm7","76","prob","text","76 phase1 2 CMT like 1004 but diff. initial on V3"
"2327","nm7","76","min","status","0"
"2328","nm7","76","ofv","estimate","2723.89838668116"
"2329","nm7","76","OMEGA1.1","estimate","0.234371"
"2330","nm7","76","OMEGA1.1","prse",NA
"2331","nm7","76","OMEGA2.1","estimate","0"
"2332","nm7","76","OMEGA2.1","prse",NA
"2333","nm7","76","OMEGA2.2","estimate","0.168645"
"2334","nm7","76","OMEGA2.2","prse",NA
"2335","nm7","76","OMEGA3.1","estimate","0"
"2336","nm7","76","OMEGA3.1","prse",NA
"2337","nm7","76","OMEGA3.2","estimate","0"
"2338","nm7","76","OMEGA3.2","prse",NA
"2339","nm7","76","OMEGA3.3","estimate","0.0699302"
"2340","nm7","76","OMEGA3.3","prse",NA
"2341","nm7","76","SIGMA1.1","estimate","0.0742515"
"2342","nm7","76","SIGMA1.1","prse",NA
"2343","nm7","76","THETA1","estimate","8.00952"
"2344","nm7","76","THETA1","prse",NA
"2345","nm7","76","THETA2","estimate","19.4296"
"2346","nm7","76","THETA2","prse",NA
"2347","nm7","76","THETA3","estimate","0.0567211"
"2348","nm7","76","THETA3","prse",NA
"2349","nm7","76","THETA4","estimate","2.71651"
"2350","nm7","76","THETA4","prse",NA
"2351","nm7","76","THETA5","estimate","103.549"
"2352","nm7","76","THETA5","prse",NA
"2353","nm7","76","THETA6","estimate","1.22622"
"2354","nm7","76","THETA6","prse",NA
"2355","nm7","76","THETA7","estimate","1.79816"
"2356","nm7","76","THETA7","prse",NA
"2357","nm7","77","prob","text","77 phase1 2 CMT like 1004 but diff. initial on V3"
"2358","nm7","77","min","status","0"
"2359","nm7","77","ofv","estimate","2222.3944934371"
"2360","nm7","77","OMEGA1.1","estimate","0.107431"
"2361","nm7","77","OMEGA1.1","prse",NA
"2362","nm7","77","OMEGA2.1","estimate","0"
"2363","nm7","77","OMEGA2.1","prse",NA
"2364","nm7","77","OMEGA2.2","estimate","0.148916"
"2365","nm7","77","OMEGA2.2","prse",NA
"2366","nm7","77","OMEGA3.1","estimate","0"
"2367","nm7","77","OMEGA3.1","prse",NA
"2368","nm7","77","OMEGA3.2","estimate","0"
"2369","nm7","77","OMEGA3.2","prse",NA
"2370","nm7","77","OMEGA3.3","estimate","0.140039"
"2371","nm7","77","OMEGA3.3","prse",NA
"2372","nm7","77","SIGMA1.1","estimate","0.0725208"
"2373","nm7","77","SIGMA1.1","prse",NA
"2374","nm7","77","THETA1","estimate","9.288"
"2375","nm7","77","THETA1","prse",NA
"2376","nm7","77","THETA2","estimate","23.4653"
"2377","nm7","77","THETA2","prse",NA
"2378","nm7","77","THETA3","estimate","0.0672059"
"2379","nm7","77","THETA3","prse",NA
"2380","nm7","77","THETA4","estimate","4.0926"
"2381","nm7","77","THETA4","prse",NA
"2382","nm7","77","THETA5","estimate","114.082"
"2383","nm7","77","THETA5","prse",NA
"2384","nm7","77","THETA6","estimate","0.750249"
"2385","nm7","77","THETA6","prse",NA
"2386","nm7","77","THETA7","estimate","1.82125"
"2387","nm7","77","THETA7","prse",NA
"2388","nm7","78","prob","text","78 phase1 2 CMT like 1004 but diff. initial on V3"
"2389","nm7","78","min","status","0"
"2390","nm7","78","ofv","estimate","2595.49564517808"
"2391","nm7","78","OMEGA1.1","estimate","0.217592"
"2392","nm7","78","OMEGA1.1","prse",NA
"2393","nm7","78","OMEGA2.1","estimate","0"
"2394","nm7","78","OMEGA2.1","prse",NA
"2395","nm7","78","OMEGA2.2","estimate","0.117276"
"2396","nm7","78","OMEGA2.2","prse",NA
"2397","nm7","78","OMEGA3.1","estimate","0"
"2398","nm7","78","OMEGA3.1","prse",NA
"2399","nm7","78","OMEGA3.2","estimate","0"
"2400","nm7","78","OMEGA3.2","prse",NA
"2401","nm7","78","OMEGA3.3","estimate","0.120191"
"2402","nm7","78","OMEGA3.3","prse",NA
"2403","nm7","78","SIGMA1.1","estimate","0.0617522"
"2404","nm7","78","SIGMA1.1","prse",NA
"2405","nm7","78","THETA1","estimate","7.51385"
"2406","nm7","78","THETA1","prse",NA
"2407","nm7","78","THETA2","estimate","23.5842"
"2408","nm7","78","THETA2","prse",NA
"2409","nm7","78","THETA3","estimate","0.0699117"
"2410","nm7","78","THETA3","prse",NA
"2411","nm7","78","THETA4","estimate","3.94377"
"2412","nm7","78","THETA4","prse",NA
"2413","nm7","78","THETA5","estimate","115.208"
"2414","nm7","78","THETA5","prse",NA
"2415","nm7","78","THETA6","estimate","1.01847"
"2416","nm7","78","THETA6","prse",NA
"2417","nm7","78","THETA7","estimate","2.09965"
"2418","nm7","78","THETA7","prse",NA
"2419","nm7","79","prob","text","79 phase1 2 CMT like 1004 but diff. initial on V3"
"2420","nm7","79","min","status","0"
"2421","nm7","79","ofv","estimate","2535.89070054041"
"2422","nm7","79","OMEGA1.1","estimate","0.187013"
"2423","nm7","79","OMEGA1.1","prse",NA
"2424","nm7","79","OMEGA2.1","estimate","0"
"2425","nm7","79","OMEGA2.1","prse",NA
"2426","nm7","79","OMEGA2.2","estimate","0.115565"
"2427","nm7","79","OMEGA2.2","prse",NA
"2428","nm7","79","OMEGA3.1","estimate","0"
"2429","nm7","79","OMEGA3.1","prse",NA
"2430","nm7","79","OMEGA3.2","estimate","0"
"2431","nm7","79","OMEGA3.2","prse",NA
"2432","nm7","79","OMEGA3.3","estimate","0.135438"
"2433","nm7","79","OMEGA3.3","prse",NA
"2434","nm7","79","SIGMA1.1","estimate","0.0656406"
"2435","nm7","79","SIGMA1.1","prse",NA
"2436","nm7","79","THETA1","estimate","8.57546"
"2437","nm7","79","THETA1","prse",NA
"2438","nm7","79","THETA2","estimate","21.5431"
"2439","nm7","79","THETA2","prse",NA
"2440","nm7","79","THETA3","estimate","0.0751168"
"2441","nm7","79","THETA3","prse",NA
"2442","nm7","79","THETA4","estimate","4.59458"
"2443","nm7","79","THETA4","prse",NA
"2444","nm7","79","THETA5","estimate","107.076"
"2445","nm7","79","THETA5","prse",NA
"2446","nm7","79","THETA6","estimate","0.942203"
"2447","nm7","79","THETA6","prse",NA
"2448","nm7","79","THETA7","estimate","1.73292"
"2449","nm7","79","THETA7","prse",NA
"2450","nm7","80","prob","text","80 phase1 2 CMT like 1004 but diff. initial on V3"
"2451","nm7","80","min","status","0"
"2452","nm7","80","ofv","estimate","2184.23521719548"
"2453","nm7","80","OMEGA1.1","estimate","0.156337"
"2454","nm7","80","OMEGA1.1","prse",NA
"2455","nm7","80","OMEGA2.1","estimate","0"
"2456","nm7","80","OMEGA2.1","prse",NA
"2457","nm7","80","OMEGA2.2","estimate","0.0864995"
"2458","nm7","80","OMEGA2.2","prse",NA
"2459","nm7","80","OMEGA3.1","estimate","0"
"2460","nm7","80","OMEGA3.1","prse",NA
"2461","nm7","80","OMEGA3.2","estimate","0"
"2462","nm7","80","OMEGA3.2","prse",NA
"2463","nm7","80","OMEGA3.3","estimate","0.120559"
"2464","nm7","80","OMEGA3.3","prse",NA
"2465","nm7","80","SIGMA1.1","estimate","0.0686216"
"2466","nm7","80","SIGMA1.1","prse",NA
"2467","nm7","80","THETA1","estimate","7.91651"
"2468","nm7","80","THETA1","prse",NA
"2469","nm7","80","THETA2","estimate","21.4423"
"2470","nm7","80","THETA2","prse",NA
"2471","nm7","80","THETA3","estimate","0.064228"
"2472","nm7","80","THETA3","prse",NA
"2473","nm7","80","THETA4","estimate","3.74631"
"2474","nm7","80","THETA4","prse",NA
"2475","nm7","80","THETA5","estimate","118.64"
"2476","nm7","80","THETA5","prse",NA
"2477","nm7","80","THETA6","estimate","0.997212"
"2478","nm7","80","THETA6","prse",NA
"2479","nm7","80","THETA7","estimate","2.13791"
"2480","nm7","80","THETA7","prse",NA
"2481","nm7","81","prob","text","81 phase1 2 CMT like 1004 but diff. initial on V3"
"2482","nm7","81","min","status","0"
"2483","nm7","81","ofv","estimate","2659.20992287247"
"2484","nm7","81","OMEGA1.1","estimate","0.151032"
"2485","nm7","81","OMEGA1.1","prse",NA
"2486","nm7","81","OMEGA2.1","estimate","0"
"2487","nm7","81","OMEGA2.1","prse",NA
"2488","nm7","81","OMEGA2.2","estimate","0.12458"
"2489","nm7","81","OMEGA2.2","prse",NA
"2490","nm7","81","OMEGA3.1","estimate","0"
"2491","nm7","81","OMEGA3.1","prse",NA
"2492","nm7","81","OMEGA3.2","estimate","0"
"2493","nm7","81","OMEGA3.2","prse",NA
"2494","nm7","81","OMEGA3.3","estimate","0.108033"
"2495","nm7","81","OMEGA3.3","prse",NA
"2496","nm7","81","SIGMA1.1","estimate","0.0561824"
"2497","nm7","81","SIGMA1.1","prse",NA
"2498","nm7","81","THETA1","estimate","7.94449"
"2499","nm7","81","THETA1","prse",NA
"2500","nm7","81","THETA2","estimate","22.3633"
"2501","nm7","81","THETA2","prse",NA
"2502","nm7","81","THETA3","estimate","0.0759322"
"2503","nm7","81","THETA3","prse",NA
"2504","nm7","81","THETA4","estimate","4.16966"
"2505","nm7","81","THETA4","prse",NA
"2506","nm7","81","THETA5","estimate","107.142"
"2507","nm7","81","THETA5","prse",NA
"2508","nm7","81","THETA6","estimate","0.874543"
"2509","nm7","81","THETA6","prse",NA
"2510","nm7","81","THETA7","estimate","1.82073"
"2511","nm7","81","THETA7","prse",NA
"2512","nm7","82","prob","text","82 phase1 2 CMT like 1004 but diff. initial on V3"
"2513","nm7","82","min","status","0"
"2514","nm7","82","ofv","estimate","1986.71767973384"
"2515","nm7","82","OMEGA1.1","estimate","0.152365"
"2516","nm7","82","OMEGA1.1","prse",NA
"2517","nm7","82","OMEGA2.1","estimate","0"
"2518","nm7","82","OMEGA2.1","prse",NA
"2519","nm7","82","OMEGA2.2","estimate","0.118369"
"2520","nm7","82","OMEGA2.2","prse",NA
"2521","nm7","82","OMEGA3.1","estimate","0"
"2522","nm7","82","OMEGA3.1","prse",NA
"2523","nm7","82","OMEGA3.2","estimate","0"
"2524","nm7","82","OMEGA3.2","prse",NA
"2525","nm7","82","OMEGA3.3","estimate","0.0925419"
"2526","nm7","82","OMEGA3.3","prse",NA
"2527","nm7","82","SIGMA1.1","estimate","0.0739369"
"2528","nm7","82","SIGMA1.1","prse",NA
"2529","nm7","82","THETA1","estimate","8.40224"
"2530","nm7","82","THETA1","prse",NA
"2531","nm7","82","THETA2","estimate","19.0088"
"2532","nm7","82","THETA2","prse",NA
"2533","nm7","82","THETA3","estimate","0.0584019"
"2534","nm7","82","THETA3","prse",NA
"2535","nm7","82","THETA4","estimate","2.89096"
"2536","nm7","82","THETA4","prse",NA
"2537","nm7","82","THETA5","estimate","104.664"
"2538","nm7","82","THETA5","prse",NA
"2539","nm7","82","THETA6","estimate","0.924852"
"2540","nm7","82","THETA6","prse",NA
"2541","nm7","82","THETA7","estimate","1.6835"
"2542","nm7","82","THETA7","prse",NA
"2543","nm7","83","prob","text","83 phase1 2 CMT like 1004 but diff. initial on V3"
"2544","nm7","83","min","status","0"
"2545","nm7","83","ofv","estimate","2806.88273178021"
"2546","nm7","83","OMEGA1.1","estimate","0.138547"
"2547","nm7","83","OMEGA1.1","prse",NA
"2548","nm7","83","OMEGA2.1","estimate","0"
"2549","nm7","83","OMEGA2.1","prse",NA
"2550","nm7","83","OMEGA2.2","estimate","0.0938562"
"2551","nm7","83","OMEGA2.2","prse",NA
"2552","nm7","83","OMEGA3.1","estimate","0"
"2553","nm7","83","OMEGA3.1","prse",NA
"2554","nm7","83","OMEGA3.2","estimate","0"
"2555","nm7","83","OMEGA3.2","prse",NA
"2556","nm7","83","OMEGA3.3","estimate","0.118569"
"2557","nm7","83","OMEGA3.3","prse",NA
"2558","nm7","83","SIGMA1.1","estimate","0.0543987"
"2559","nm7","83","SIGMA1.1","prse",NA
"2560","nm7","83","THETA1","estimate","8.24683"
"2561","nm7","83","THETA1","prse",NA
"2562","nm7","83","THETA2","estimate","24.0433"
"2563","nm7","83","THETA2","prse",NA
"2564","nm7","83","THETA3","estimate","0.0807579"
"2565","nm7","83","THETA3","prse",NA
"2566","nm7","83","THETA4","estimate","3.91309"
"2567","nm7","83","THETA4","prse",NA
"2568","nm7","83","THETA5","estimate","94.4211"
"2569","nm7","83","THETA5","prse",NA
"2570","nm7","83","THETA6","estimate","0.991735"
"2571","nm7","83","THETA6","prse",NA
"2572","nm7","83","THETA7","estimate","1.40871"
"2573","nm7","83","THETA7","prse",NA
"2574","nm7","84","prob","text","84 phase1 2 CMT like 1004 but diff. initial on V3"
"2575","nm7","84","min","status","0"
"2576","nm7","84","ofv","estimate","1884.59696567385"
"2577","nm7","84","OMEGA1.1","estimate","0.121658"
"2578","nm7","84","OMEGA1.1","prse",NA
"2579","nm7","84","OMEGA2.1","estimate","0"
"2580","nm7","84","OMEGA2.1","prse",NA
"2581","nm7","84","OMEGA2.2","estimate","0.10393"
"2582","nm7","84","OMEGA2.2","prse",NA
"2583","nm7","84","OMEGA3.1","estimate","0"
"2584","nm7","84","OMEGA3.1","prse",NA
"2585","nm7","84","OMEGA3.2","estimate","0"
"2586","nm7","84","OMEGA3.2","prse",NA
"2587","nm7","84","OMEGA3.3","estimate","0.0901018"
"2588","nm7","84","OMEGA3.3","prse",NA
"2589","nm7","84","SIGMA1.1","estimate","0.0750783"
"2590","nm7","84","SIGMA1.1","prse",NA
"2591","nm7","84","THETA1","estimate","8.34177"
"2592","nm7","84","THETA1","prse",NA
"2593","nm7","84","THETA2","estimate","19.9079"
"2594","nm7","84","THETA2","prse",NA
"2595","nm7","84","THETA3","estimate","0.0546347"
"2596","nm7","84","THETA3","prse",NA
"2597","nm7","84","THETA4","estimate","2.72747"
"2598","nm7","84","THETA4","prse",NA
"2599","nm7","84","THETA5","estimate","136.842"
"2600","nm7","84","THETA5","prse",NA
"2601","nm7","84","THETA6","estimate","0.872764"
"2602","nm7","84","THETA6","prse",NA
"2603","nm7","84","THETA7","estimate","1.63294"
"2604","nm7","84","THETA7","prse",NA
"2605","nm7","85","prob","text","85 phase1 2 CMT like 1004 but diff. initial on V3"
"2606","nm7","85","min","status","0"
"2607","nm7","85","ofv","estimate","1814.19390007688"
"2608","nm7","85","OMEGA1.1","estimate","0.181682"
"2609","nm7","85","OMEGA1.1","prse",NA
"2610","nm7","85","OMEGA2.1","estimate","0"
"2611","nm7","85","OMEGA2.1","prse",NA
"2612","nm7","85","OMEGA2.2","estimate","0.135421"
"2613","nm7","85","OMEGA2.2","prse",NA
"2614","nm7","85","OMEGA3.1","estimate","0"
"2615","nm7","85","OMEGA3.1","prse",NA
"2616","nm7","85","OMEGA3.2","estimate","0"
"2617","nm7","85","OMEGA3.2","prse",NA
"2618","nm7","85","OMEGA3.3","estimate","0.162355"
"2619","nm7","85","OMEGA3.3","prse",NA
"2620","nm7","85","SIGMA1.1","estimate","0.0847317"
"2621","nm7","85","SIGMA1.1","prse",NA
"2622","nm7","85","THETA1","estimate","9.51078"
"2623","nm7","85","THETA1","prse",NA
"2624","nm7","85","THETA2","estimate","17.6791"
"2625","nm7","85","THETA2","prse",NA
"2626","nm7","85","THETA3","estimate","0.0599103"
"2627","nm7","85","THETA3","prse",NA
"2628","nm7","85","THETA4","estimate","2.99104"
"2629","nm7","85","THETA4","prse",NA
"2630","nm7","85","THETA5","estimate","113.202"
"2631","nm7","85","THETA5","prse",NA
"2632","nm7","85","THETA6","estimate","1.14819"
"2633","nm7","85","THETA6","prse",NA
"2634","nm7","85","THETA7","estimate","0.741403"
"2635","nm7","85","THETA7","prse",NA
"2636","nm7","86","prob","text","86 phase1 2 CMT like 1004 but diff. initial on V3"
"2637","nm7","86","min","status","0"
"2638","nm7","86","ofv","estimate","2893.41779002682"
"2639","nm7","86","OMEGA1.1","estimate","0.159813"
"2640","nm7","86","OMEGA1.1","prse",NA
"2641","nm7","86","OMEGA2.1","estimate","0"
"2642","nm7","86","OMEGA2.1","prse",NA
"2643","nm7","86","OMEGA2.2","estimate","0.102879"
"2644","nm7","86","OMEGA2.2","prse",NA
"2645","nm7","86","OMEGA3.1","estimate","0"
"2646","nm7","86","OMEGA3.1","prse",NA
"2647","nm7","86","OMEGA3.2","estimate","0"
"2648","nm7","86","OMEGA3.2","prse",NA
"2649","nm7","86","OMEGA3.3","estimate","0.094637"
"2650","nm7","86","OMEGA3.3","prse",NA
"2651","nm7","86","SIGMA1.1","estimate","0.0621386"
"2652","nm7","86","SIGMA1.1","prse",NA
"2653","nm7","86","THETA1","estimate","9.06019"
"2654","nm7","86","THETA1","prse",NA
"2655","nm7","86","THETA2","estimate","22.9122"
"2656","nm7","86","THETA2","prse",NA
"2657","nm7","86","THETA3","estimate","0.0735371"
"2658","nm7","86","THETA3","prse",NA
"2659","nm7","86","THETA4","estimate","4.22335"
"2660","nm7","86","THETA4","prse",NA
"2661","nm7","86","THETA5","estimate","114.197"
"2662","nm7","86","THETA5","prse",NA
"2663","nm7","86","THETA6","estimate","0.93119"
"2664","nm7","86","THETA6","prse",NA
"2665","nm7","86","THETA7","estimate","1.13078"
"2666","nm7","86","THETA7","prse",NA
"2667","nm7","87","prob","text","87 phase1 2 CMT like 1004 but diff. initial on V3"
"2668","nm7","87","min","status","0"
"2669","nm7","87","ofv","estimate","2322.79052787107"
"2670","nm7","87","OMEGA1.1","estimate","0.138598"
"2671","nm7","87","OMEGA1.1","prse",NA
"2672","nm7","87","OMEGA2.1","estimate","0"
"2673","nm7","87","OMEGA2.1","prse",NA
"2674","nm7","87","OMEGA2.2","estimate","0.103899"
"2675","nm7","87","OMEGA2.2","prse",NA
"2676","nm7","87","OMEGA3.1","estimate","0"
"2677","nm7","87","OMEGA3.1","prse",NA
"2678","nm7","87","OMEGA3.2","estimate","0"
"2679","nm7","87","OMEGA3.2","prse",NA
"2680","nm7","87","OMEGA3.3","estimate","0.135865"
"2681","nm7","87","OMEGA3.3","prse",NA
"2682","nm7","87","SIGMA1.1","estimate","0.0633733"
"2683","nm7","87","SIGMA1.1","prse",NA
"2684","nm7","87","THETA1","estimate","8.8517"
"2685","nm7","87","THETA1","prse",NA
"2686","nm7","87","THETA2","estimate","21.482"
"2687","nm7","87","THETA2","prse",NA
"2688","nm7","87","THETA3","estimate","0.0673649"
"2689","nm7","87","THETA3","prse",NA
"2690","nm7","87","THETA4","estimate","3.80159"
"2691","nm7","87","THETA4","prse",NA
"2692","nm7","87","THETA5","estimate","83.116"
"2693","nm7","87","THETA5","prse",NA
"2694","nm7","87","THETA6","estimate","0.877378"
"2695","nm7","87","THETA6","prse",NA
"2696","nm7","87","THETA7","estimate","1.47302"
"2697","nm7","87","THETA7","prse",NA
"2698","nm7","88","prob","text","88 phase1 2 CMT like 1004 but diff. initial on V3"
"2699","nm7","88","min","status","0"
"2700","nm7","88","ofv","estimate","2304.43282104208"
"2701","nm7","88","OMEGA1.1","estimate","0.165046"
"2702","nm7","88","OMEGA1.1","prse",NA
"2703","nm7","88","OMEGA2.1","estimate","0"
"2704","nm7","88","OMEGA2.1","prse",NA
"2705","nm7","88","OMEGA2.2","estimate","0.0920208"
"2706","nm7","88","OMEGA2.2","prse",NA
"2707","nm7","88","OMEGA3.1","estimate","0"
"2708","nm7","88","OMEGA3.1","prse",NA
"2709","nm7","88","OMEGA3.2","estimate","0"
"2710","nm7","88","OMEGA3.2","prse",NA
"2711","nm7","88","OMEGA3.3","estimate","0.124549"
"2712","nm7","88","OMEGA3.3","prse",NA
"2713","nm7","88","SIGMA1.1","estimate","0.0755368"
"2714","nm7","88","SIGMA1.1","prse",NA
"2715","nm7","88","THETA1","estimate","8.87751"
"2716","nm7","88","THETA1","prse",NA
"2717","nm7","88","THETA2","estimate","17.748"
"2718","nm7","88","THETA2","prse",NA
"2719","nm7","88","THETA3","estimate","0.0645618"
"2720","nm7","88","THETA3","prse",NA
"2721","nm7","88","THETA4","estimate","3.277"
"2722","nm7","88","THETA4","prse",NA
"2723","nm7","88","THETA5","estimate","85.7314"
"2724","nm7","88","THETA5","prse",NA
"2725","nm7","88","THETA6","estimate","0.883928"
"2726","nm7","88","THETA6","prse",NA
"2727","nm7","88","THETA7","estimate","1.4235"
"2728","nm7","88","THETA7","prse",NA
"2729","nm7","89","prob","text","89 phase1 2 CMT like 1004 but diff. initial on V3"
"2730","nm7","89","min","status","0"
"2731","nm7","89","ofv","estimate","2363.47684796459"
"2732","nm7","89","OMEGA1.1","estimate","0.246331"
"2733","nm7","89","OMEGA1.1","prse",NA
"2734","nm7","89","OMEGA2.1","estimate","0"
"2735","nm7","89","OMEGA2.1","prse",NA
"2736","nm7","89","OMEGA2.2","estimate","0.127422"
"2737","nm7","89","OMEGA2.2","prse",NA
"2738","nm7","89","OMEGA3.1","estimate","0"
"2739","nm7","89","OMEGA3.1","prse",NA
"2740","nm7","89","OMEGA3.2","estimate","0"
"2741","nm7","89","OMEGA3.2","prse",NA
"2742","nm7","89","OMEGA3.3","estimate","0.0946106"
"2743","nm7","89","OMEGA3.3","prse",NA
"2744","nm7","89","SIGMA1.1","estimate","0.0765847"
"2745","nm7","89","SIGMA1.1","prse",NA
"2746","nm7","89","THETA1","estimate","8.79795"
"2747","nm7","89","THETA1","prse",NA
"2748","nm7","89","THETA2","estimate","18.4525"
"2749","nm7","89","THETA2","prse",NA
"2750","nm7","89","THETA3","estimate","0.0634933"
"2751","nm7","89","THETA3","prse",NA
"2752","nm7","89","THETA4","estimate","3.28658"
"2753","nm7","89","THETA4","prse",NA
"2754","nm7","89","THETA5","estimate","86.2564"
"2755","nm7","89","THETA5","prse",NA
"2756","nm7","89","THETA6","estimate","1.18924"
"2757","nm7","89","THETA6","prse",NA
"2758","nm7","89","THETA7","estimate","1.06677"
"2759","nm7","89","THETA7","prse",NA
"2760","nm7","90","prob","text","90 phase1 2 CMT like 1004 but diff. initial on V3"
"2761","nm7","90","min","status","0"
"2762","nm7","90","ofv","estimate","2253.44865473445"
"2763","nm7","90","OMEGA1.1","estimate","0.143026"
"2764","nm7","90","OMEGA1.1","prse",NA
"2765","nm7","90","OMEGA2.1","estimate","0"
"2766","nm7","90","OMEGA2.1","prse",NA
"2767","nm7","90","OMEGA2.2","estimate","0.0519748"
"2768","nm7","90","OMEGA2.2","prse",NA
"2769","nm7","90","OMEGA3.1","estimate","0"
"2770","nm7","90","OMEGA3.1","prse",NA
"2771","nm7","90","OMEGA3.2","estimate","0"
"2772","nm7","90","OMEGA3.2","prse",NA
"2773","nm7","90","OMEGA3.3","estimate","0.115026"
"2774","nm7","90","OMEGA3.3","prse",NA
"2775","nm7","90","SIGMA1.1","estimate","0.0659659"
"2776","nm7","90","SIGMA1.1","prse",NA
"2777","nm7","90","THETA1","estimate","10.6137"
"2778","nm7","90","THETA1","prse",NA
"2779","nm7","90","THETA2","estimate","25.2761"
"2780","nm7","90","THETA2","prse",NA
"2781","nm7","90","THETA3","estimate","0.0703504"
"2782","nm7","90","THETA3","prse",NA
"2783","nm7","90","THETA4","estimate","4.4068"
"2784","nm7","90","THETA4","prse",NA
"2785","nm7","90","THETA5","estimate","149.726"
"2786","nm7","90","THETA5","prse",NA
"2787","nm7","90","THETA6","estimate","0.784634"
"2788","nm7","90","THETA6","prse",NA
"2789","nm7","90","THETA7","estimate","1.43612"
"2790","nm7","90","THETA7","prse",NA
"2791","nm7","91","prob","text","91 phase1 2 CMT like 1004 but diff. initial on V3"
"2792","nm7","91","min","status","0"
"2793","nm7","91","ofv","estimate","2621.38328226439"
"2794","nm7","91","OMEGA1.1","estimate","0.251549"
"2795","nm7","91","OMEGA1.1","prse",NA
"2796","nm7","91","OMEGA2.1","estimate","0"
"2797","nm7","91","OMEGA2.1","prse",NA
"2798","nm7","91","OMEGA2.2","estimate","0.134631"
"2799","nm7","91","OMEGA2.2","prse",NA
"2800","nm7","91","OMEGA3.1","estimate","0"
"2801","nm7","91","OMEGA3.1","prse",NA
"2802","nm7","91","OMEGA3.2","estimate","0"
"2803","nm7","91","OMEGA3.2","prse",NA
"2804","nm7","91","OMEGA3.3","estimate","0.0800426"
"2805","nm7","91","OMEGA3.3","prse",NA
"2806","nm7","91","SIGMA1.1","estimate","0.05935"
"2807","nm7","91","SIGMA1.1","prse",NA
"2808","nm7","91","THETA1","estimate","8.01021"
"2809","nm7","91","THETA1","prse",NA
"2810","nm7","91","THETA2","estimate","24.9246"
"2811","nm7","91","THETA2","prse",NA
"2812","nm7","91","THETA3","estimate","0.0758944"
"2813","nm7","91","THETA3","prse",NA
"2814","nm7","91","THETA4","estimate","4.72535"
"2815","nm7","91","THETA4","prse",NA
"2816","nm7","91","THETA5","estimate","112.074"
"2817","nm7","91","THETA5","prse",NA
"2818","nm7","91","THETA6","estimate","0.925362"
"2819","nm7","91","THETA6","prse",NA
"2820","nm7","91","THETA7","estimate","2.32027"
"2821","nm7","91","THETA7","prse",NA
"2822","nm7","92","prob","text","92 phase1 2 CMT like 1004 but diff. initial on V3"
